,window_start,rmse,mae,ic,ric,dir_acc,sharpe,max_drawdown,calmar,hit_rate,turnover,profit_factor
0,0,0.007715164218097925,0.00639451015740633,0.7445818781852722,0.730606734752655,0.682539701461792,5.842636418148588,0.028828263,25.778546481966597,0.8225806451612904,0.48387095,2.657663583755493
1,21,0.00766927283257246,0.006269425619393587,0.7548487186431885,0.723646342754364,0.6507936716079712,5.696134300247955,0.032832503,21.98381446201061,0.8387096774193549,0.516129,2.6147611141204834
2,42,0.008182459510862827,0.006582584697753191,0.7654491662979126,0.7477918863296509,0.7460317611694336,8.439826982396184,0.040400207,28.410548815437522,0.7258064516129032,0.7096774,3.869788885116577
3,63,0.008162266574800014,0.006617971695959568,0.7826042771339417,0.7439516186714172,0.682539701461792,6.046210616913581,0.040836036,23.18429098125862,0.7580645161290323,0.7741935,2.6131675243377686
4,84,0.008086058311164379,0.0065701063722372055,0.8030474781990051,0.7867703437805176,0.761904776096344,9.492244006948518,0.03120476,43.861214947022994,0.6935483870967742,0.87096775,4.337054252624512
5,105,0.008054026402533054,0.006192626431584358,0.8709115982055664,0.8368855714797974,0.8095238208770752,11.965001018438926,0.02414155,84.09304171563447,0.5,1.1290323,8.554413795471191
6,126,0.0086807981133461,0.006532014347612858,0.8897787928581238,0.891321063041687,0.8095238208770752,13.114105864190837,0.010431826,220.55808935703388,0.532258064516129,1.0967742,10.842631340026855
7,147,0.011293270625174046,0.008929535746574402,0.8839576244354248,0.8786002397537231,0.6349206566810608,8.488845529604854,0.027085364,65.4544203754481,0.7258064516129032,1.0645162,4.032598495483398
8,168,0.0082946065813303,0.006509815808385611,0.8509881496429443,0.8176843523979187,0.6984127163887024,7.660540326417942,0.025417209,52.71617022430411,0.6774193548387096,1.1290323,3.5364811420440674
9,189,0.008281511254608631,0.007121225353330374,0.8628183007240295,0.7968029975891113,0.5873016119003296,4.641272309359923,0.031301916,25.479589574300356,0.8225806451612904,0.7419355,2.1082804203033447
10,210,0.008765405975282192,0.007249186746776104,0.8659923672676086,0.8404858112335205,0.6984127163887024,7.880694689695492,0.03695202,39.87900091458694,0.6774193548387096,1.0,3.4792206287384033
11,231,0.008505839854478836,0.006840924266725779,0.8984553217887878,0.8955453038215637,0.761904776096344,11.430680308454125,0.020413399,105.71659786702872,0.6774193548387096,0.9677419,6.2862548828125
12,252,0.007483580149710178,0.00557863200083375,0.8845263719558716,0.8633832335472107,0.8095238208770752,11.91228001253382,0.01864922,110.31770523711815,0.5806451612903226,1.2903225,7.648678779602051
13,273,0.006671735551208258,0.005104808136820793,0.8394304513931274,0.7929627299308777,0.7936508059501648,9.134216345622658,0.019573867,69.73975614351619,0.6290322580645161,1.2903225,4.8107476234436035
14,294,0.009132339619100094,0.007468939293175936,0.7464882135391235,0.7023809552192688,0.5873016119003296,4.884552136928357,0.02324611,29.031829960513328,0.8548387096774194,0.4516129,2.1369855403900146
15,315,0.0061271414160728455,0.004884152673184872,0.8260120153427124,0.8083717226982117,0.7460317611694336,10.667665357613272,0.019192457,64.55683591566356,0.5645161290322581,1.1935484,5.216614246368408
16,336,0.006197549402713776,0.004844591487199068,0.8091499209403992,0.7538402676582336,0.7142857313156128,8.3220096939975,0.016879678,55.84573627089557,0.6774193548387096,0.9677419,3.833453893661499
17,357,0.007167419884353876,0.0058908602222800255,0.8543049693107605,0.8460061550140381,0.7142857313156128,8.266856022283926,0.024298787,43.41731558432638,0.7419354838709677,0.7741935,3.774054765701294
18,378,0.00468106335029006,0.003682857844978571,0.8204029202461243,0.8410138487815857,0.841269850730896,11.037982191836985,0.015324652,68.47595899535209,0.5161290322580645,1.1935484,6.75098991394043
19,399,0.004719185177236795,0.0038648685440421104,0.824700117111206,0.8410618305206299,0.841269850730896,11.905527969278578,0.012036145,89.84618320185407,0.5967741935483871,1.0645162,7.645514965057373
20,420,0.0049153538420796394,0.0041444613598287106,0.7378948926925659,0.7334869503974915,0.761904776096344,9.80929766587457,0.006085098,129.25462485674547,0.6612903225806451,0.87096775,4.852538108825684
21,441,0.007909512147307396,0.006636343896389008,0.6694352626800537,0.6337365508079529,0.6349206566810608,4.5164432473425515,0.036765277,11.136691043584099,0.8709677419354839,0.4516129,2.021702766418457
