,rmse,mae,ic,ric,dir_acc,sharpe,max_drawdown,calmar,hit_rate,turnover,profit_factor
mean,0.0076,0.0061,0.8175,0.7957,0.7258,8.6889,0.0246,64.0335,0.6884,0.9106,4.7102
std,0.0016,0.0013,0.0609,0.0678,0.0765,2.6235,0.0096,47.3317,0.1112,0.268,2.3506
