,rmse,mae,ic,ric,dir_acc,sharpe,max_drawdown,calmar,hit_rate,turnover,profit_factor
mean,0.0044,0.0035,0.9269,0.9004,0.8297,12.7875,0.0099,174.5203,0.5433,1.0015,11.3653
std,0.0009,0.0008,0.0235,0.033,0.055,2.0704,0.0036,83.5359,0.0803,0.1518,4.7981
