trading_day,IC,RIC
0,0.9544265773263843,1.0
1,0.661368952825755,0.5
2,0.6239162962959214,0.5
3,0.9719106567296358,1.0
4,0.9661507176288693,1.0
5,0.9994280634998028,1.0
6,0.999999415781207,1.0
7,0.9979567304478838,1.0
8,0.9658395440265299,1.0
9,0.9676886817119505,1.0
10,0.7395822555513104,0.5
11,0.9271531051149956,0.5
12,0.965427941075,0.5
13,0.9449737042451564,1.0
14,0.9590142015845418,1.0
15,0.9938577848688609,1.0
16,0.8878369119011803,1.0
17,0.9799457740075296,1.0
18,0.7320610676006852,1.0
19,0.9488736860241583,0.5
20,0.7249490408345334,0.5
21,0.9745044263411774,0.5
22,0.9999573079518357,1.0
23,0.9978957110631177,1.0
24,0.6780307306332265,1.0
25,0.999784401706466,1.0
26,0.9240672185475,1.0
27,0.5835141226825672,0.5
28,0.9500970676223165,1.0
29,-0.060704019431457805,-0.5
30,0.9870469678103817,1.0
31,0.9937022383563235,1.0
32,0.8896567815131587,1.0
33,0.8724956307794709,1.0
34,0.9878074968330998,1.0
35,0.9997870004941033,1.0
36,0.9950347488767943,1.0
37,0.9249617473957098,1.0
38,-0.05006172191048217,-0.5
39,0.8392845709229375,0.5
40,0.7400151748257316,0.5
41,0.9997903614265559,1.0
42,0.9999939729480779,1.0
43,0.9548553162277535,0.5
44,0.9999694933999066,1.0
45,-0.21269286323979367,-0.5
46,-0.7174113212135997,-0.5
47,0.9999069457097498,1.0
48,-0.5203022379475337,-0.5
49,0.9690595267655542,1.0
50,0.8924486304208623,1.0
51,0.9829912046725965,1.0
52,0.3969748039198659,0.5
53,0.9866956223843827,1.0
54,-0.44328111823753097,-0.5
55,0.9020796557485711,0.5
56,0.9141257258333529,1.0
57,0.9746318892043082,1.0
58,0.8946920702932809,0.5
59,0.9975118537158622,1.0
60,0.9993025374064686,1.0
61,0.7933742193940715,1.0
62,0.46572650955294975,0.5
63,0.9924861161143835,1.0
64,0.9948270538554552,0.5
65,-0.21658856898268491,-0.5
66,-0.24985306521023368,0.5
67,0.8966126846622328,0.5
68,-0.9776573213523337,-1.0
69,0.32035581903396965,0.5
