,window_start,rmse,mae,ic,ric,dir_acc,sharpe,max_drawdown,calmar,hit_rate,turnover,profit_factor
0,0,0.0032638402190059423,0.002483138581737876,0.9509680271148682,0.9179627299308777,0.8888888955116272,12.961037157137826,0.0052773952,243.31136,0.5967741935483871,1.1290323,15.85847282409668
1,21,0.004027105402201414,0.0032481930684298277,0.9298741221427917,0.8963133692741394,0.7936508059501648,10.518496863886787,0.015724003,68.53804,0.43548387096774194,0.9677419,6.76334285736084
2,42,0.004648569040000439,0.0038939428050071,0.921421229839325,0.908074140548706,0.841269850730896,13.281492384940364,0.0095329285,157.0022,0.45161290322580644,0.83870965,9.702338218688965
3,63,0.004577354062348604,0.0037305480800569057,0.9038895964622498,0.8801363110542297,0.8730158805847168,15.491576368391565,0.006403446,269.07306,0.532258064516129,0.7741935,15.05535888671875
4,84,0.004474158864468336,0.0034817985724657774,0.9179571866989136,0.9149865508079529,0.920634925365448,15.903313808772998,0.016432703,107.20274,0.5,0.9677419,17.734786987304688
5,105,0.004268936347216368,0.003207920351997018,0.9562913179397583,0.9465726017951965,0.8888888955116272,14.818263485477663,0.006629288,333.44525,0.5161290322580645,1.0,21.36414909362793
6,126,0.00609192717820406,0.0047782850451767445,0.9470106959342957,0.9328917264938354,0.8571428656578064,13.304251198900333,0.009211361,235.10942,0.5645161290322581,1.0967742,13.209598541259766
7,147,0.005449477583169937,0.00415831571444869,0.9510506987571716,0.9160426259040833,0.841269850730896,13.115184525809529,0.0098237395,223.42636,0.5,1.1612903,12.01868724822998
8,168,0.005203112494200468,0.003762704087421298,0.9243243932723999,0.8900729417800903,0.8253968358039856,11.810749568382963,0.010170519,163.67174,0.5483870967741935,1.0645162,8.301984786987305
9,189,0.00453275116160512,0.0036268860567361116,0.9325321912765503,0.8879128098487854,0.8253968358039856,11.983077116301615,0.012062669,136.7625,0.4838709677419355,1.0,9.692580223083496
10,210,0.005821768660098314,0.004767869133502245,0.9251178503036499,0.9021217226982117,0.7777777910232544,11.813552196202755,0.012254536,151.36491,0.5645161290322581,1.0645162,7.941255569458008
11,231,0.005533722694963217,0.0047039445489645,0.9317820072174072,0.8902169466018677,0.8253968358039856,13.83736267243892,0.011838913,192.8947,0.5645161290322581,0.9032258,14.341556549072266
12,252,0.004865772090852261,0.00403937790542841,0.9385412335395813,0.912346363067627,0.8571428656578064,14.640994910389887,0.005981207,363.0409,0.532258064516129,1.032258,20.376121520996094
13,273,0.005066531244665384,0.004192447289824486,0.9482747316360474,0.9281874299049377,0.7936508059501648,12.825313139674476,0.0080192685,210.21484,0.6935483870967742,0.83870965,10.690211296081543
14,294,0.003221629187464714,0.0025416298303753138,0.9473711252212524,0.9382680654525757,0.8571428656578064,14.050805205723327,0.006659627,214.79634,0.45161290322580644,1.0967742,12.798847198486328
15,315,0.0049381195567548275,0.004044916480779648,0.952685534954071,0.9542050957679749,0.8571428656578064,15.390685551656706,0.010082483,143.02802,0.5967741935483871,1.0967742,13.85168170928955
16,336,0.003074929118156433,0.002296148333698511,0.9346654415130615,0.9174827337265015,0.8095238208770752,12.45215677604928,0.008956671,123.10733,0.5,1.2903225,9.22207260131836
17,357,0.0033271177671849728,0.0025913286954164505,0.9328727722167969,0.8928571343421936,0.7777777910232544,12.255933088499024,0.013117671,86.642944,0.5645161290322581,1.1935484,7.500728607177734
18,378,0.004305371083319187,0.003353566164150834,0.8901380300521851,0.8285330533981323,0.6666666865348816,7.666551972553337,0.014292181,52.09295,0.7580645161290323,0.6451613,3.5295794010162354
19,399,0.0038606049492955208,0.003013806650415063,0.8872622847557068,0.8531106114387512,0.761904776096344,8.484194984117254,0.015089154,51.751965,0.6451612903225806,0.8064516,4.077317237854004
20,420,0.0032627040054649115,0.002655272139236331,0.8782497048377991,0.846342146396637,0.8253968358039856,11.33152386605879,0.006690085,120.721214,0.45161290322580644,1.0,6.99603796005249
21,441,0.0027813799679279327,0.0023087235167622566,0.8889511823654175,0.854742705821991,0.8888888955116272,13.3886280847308,0.0041911006,192.2473,0.5,1.0645162,9.010414123535156
