,rmse,mae,ic,ric,dir_acc,sharpe,max_drawdown,calmar,hit_rate,turnover,profit_factor
mean,0.0041,0.0033,0.9481,0.9336,0.8608,14.1858,0.0099,235.0715,0.4223,0.9736,23.37
std,0.0007,0.0006,0.0216,0.0253,0.0736,2.9628,0.0048,176.273,0.0724,0.1382,24.3776
