,window_start,rmse,mae,ic,ric,dir_acc,sharpe,max_drawdown,calmar,hit_rate,turnover,profit_factor
0,0,0.0030468101613223553,0.0024259421043097973,0.9720697999000549,0.9477246403694153,0.8730158805847168,16.034836723089867,0.0071856976,277.5169,0.5806451612903226,0.8064516,20.9495792388916
1,21,0.003780671861022711,0.003017167095094919,0.9630580544471741,0.9474846124649048,0.920634925365448,17.087296326390305,0.008352697,273.18182,0.5645161290322581,0.9354839,30.5056095123291
2,42,0.005062417592853308,0.004200456198304892,0.9597704410552979,0.960397481918335,0.9047619104385376,19.42821534082786,0.00611645,519.4635,0.45161290322580644,1.1290323,37.194828033447266
3,63,0.0066738007590174675,0.00541548291221261,0.9425773620605469,0.9431163668632507,0.8730158805847168,17.614935957700045,0.014361441,239.16809,0.4838709677419355,1.0967742,20.133237838745117
4,84,0.0066092596389353275,0.005268431268632412,0.9483562707901001,0.9428763389587402,0.8730158805847168,19.41956333921268,0.0143613815,253.38936,0.43548387096774194,1.0967742,20.99979591369629
5,105,0.006740414071828127,0.005319725256413221,0.9689784646034241,0.9670218825340271,0.9047619104385376,18.96738460387997,0.014425874,292.06885,0.43548387096774194,1.1612903,26.82375144958496
6,126,0.005349611397832632,0.004309435375034809,0.9786168336868286,0.9765264987945557,0.9365079402923584,20.074106563766964,0.008467972,521.555,0.46774193548387094,1.1612903,69.45118713378906
7,147,0.005904090590775013,0.0049563017673790455,0.9816161394119263,0.9798387289047241,0.9365079402923584,19.52161986745125,0.0037580132,1167.9579,0.5,1.1612903,81.6051254272461
8,168,0.005181432701647282,0.004277576692402363,0.9790364503860474,0.9737423062324524,0.9365079402923584,18.536896429026967,0.008177698,440.40128,0.4838709677419355,0.87096775,60.22887420654297
9,189,0.003923417534679174,0.003054620698094368,0.9811935424804688,0.9747023582458496,0.9365079402923584,17.967805913338637,0.0028457046,1115.4407,0.43548387096774194,0.7419355,112.08661651611328
10,210,0.0042730662971735,0.003537276992574334,0.977245032787323,0.9714381694793701,0.9523809552192688,18.442683852383965,0.0032589436,1043.1646,0.4032258064516129,0.7741935,121.64212036132812
11,231,0.004257352091372013,0.003491294803097844,0.979505717754364,0.9764785170555115,0.9523809552192688,18.50197428602466,0.0050359964,761.13477,0.43548387096774194,0.83870965,113.7704086303711
12,252,0.004807462450116873,0.0038139738608151674,0.9765977263450623,0.9688460230827332,0.9682539701461792,17.739199668562005,0.0058273673,621.04926,0.4032258064516129,0.9354839,82.0858383178711
13,273,0.0042323339730501175,0.003348470665514469,0.9747750163078308,0.9770545363426208,0.9682539701461792,17.39720905616175,0.005859673,559.68713,0.46774193548387094,0.9677419,84.44378662109375
14,294,0.006332986522465944,0.005433772690594196,0.9748155474662781,0.9750863909721375,0.9523809552192688,20.73968430744157,0.0027802587,1058.5482,0.532258064516129,0.9354839,87.02801513671875
15,315,0.0037180338986217976,0.0029765984509140253,0.9730075597763062,0.9747023582458496,0.9523809552192688,21.99732805928262,0.0022047162,1254.3785,0.5645161290322581,1.0967742,116.08638000488281
16,336,0.003225065767765045,0.0025344020687043667,0.9684684872627258,0.9690860509872437,0.9365079402923584,18.347458847730437,0.0037527084,602.7346,0.5161290322580645,1.0967742,53.89972686767578
17,357,0.003139413660392165,0.002604857785627246,0.9622028470039368,0.9610695242881775,0.920634925365448,15.861773035926179,0.0038493872,468.76898,0.532258064516129,1.1935484,32.13914108276367
18,378,0.0032678477000445127,0.0025911524426192045,0.9488145709037781,0.9467166066169739,0.9365079402923584,16.455717239981304,0.00499171,336.75256,0.5645161290322581,1.0645162,30.3945255279541
19,399,0.00428724056109786,0.0034169750288128853,0.9593237042427063,0.9609255194664001,0.8888888955116272,14.854592619556282,0.0066253543,237.04494,0.5161290322580645,1.1290323,16.11838722229004
20,420,0.005031402688473463,0.004182011820375919,0.9580013155937195,0.957277238368988,0.8730158805847168,15.456047714777343,0.009162188,177.9896,0.43548387096774194,0.9354839,16.260318756103516
21,441,0.004770912695676088,0.0041618337854743,0.966911792755127,0.9548290967941284,0.841269850730896,14.098450824854174,0.00903362,170.29747,0.3870967741935484,0.87096775,13.670238494873047
