,rmse,mae,ic,ric,dir_acc,sharpe,max_drawdown,calmar,hit_rate,turnover,profit_factor
mean,0.0047,0.0038,0.968,0.964,0.9199,17.9339,0.0068,563.2588,0.4817,1.0,56.7053
std,0.0012,0.001,0.0114,0.0123,0.0358,1.9478,0.0037,351.6317,0.0583,0.1418,37.47
