,rmse,mae,ic,ric,dir_acc,sharpe,max_drawdown,calmar,hit_rate,turnover,profit_factor
mean,0.0086,0.0069,0.895,0.8811,0.8442,13.798,0.0204,143.7557,0.4289,1.132,11.8573
std,0.0019,0.0016,0.0209,0.0315,0.0577,2.6704,0.0075,73.9981,0.0766,0.0901,5.0165
