,window_start,rmse,mae,ic,ric,dir_acc,sharpe,max_drawdown,calmar,hit_rate,turnover,profit_factor
0,0,0.005965619347989559,0.004918841645121574,0.8793620467185974,0.8194124698638916,0.7936508059501648,10.456561816891497,0.020643532,74.2889302017376,0.5645161290322581,1.1290323,5.614645481109619
1,21,0.008453977294266224,0.006901860237121582,0.8753606677055359,0.817396342754364,0.682539701461792,9.570132837762001,0.040217698,40.549055906266254,0.2903225806451613,0.9677419,4.635302543640137
2,42,0.008365076966583729,0.00662114005535841,0.9009252786636353,0.8794642686843872,0.841269850730896,15.724568224223137,0.022262514,130.68390063132023,0.3548387096774194,1.0645162,12.948498725891113
3,63,0.01012483425438404,0.008429661393165588,0.8802980184555054,0.8692396283149719,0.7936508059501648,14.061974084448787,0.014791071,207.72496227126007,0.46774193548387094,1.1612903,9.236943244934082
4,84,0.009788870811462402,0.008189651183784008,0.9000560641288757,0.894393265247345,0.8571428656578064,18.67266964859924,0.014981389,239.19398408966126,0.4838709677419355,1.0967742,17.8587646484375
5,105,0.010633477009832859,0.008842973038554192,0.9218367338180542,0.9043778777122498,0.8571428656578064,17.935135713013945,0.015173495,271.08456842742044,0.46774193548387094,1.1935484,19.66461944580078
6,126,0.011317255906760693,0.009284861385822296,0.9190689921379089,0.9073540568351746,0.8730158805847168,17.042743816760776,0.015273094,269.8858140805495,0.5483870967741935,1.2258065,19.127159118652344
7,147,0.012192871421575546,0.010059439577162266,0.9221500754356384,0.913306474685669,0.8253968358039856,14.117720073858239,0.03131008,120.97854364491639,0.4032258064516129,1.0967742,10.698174476623535
8,168,0.010380643419921398,0.008442345075309277,0.9059776067733765,0.9113863110542297,0.8730158805847168,14.732683040367393,0.017333567,184.9385971548336,0.41935483870967744,1.1290323,13.982246398925781
9,189,0.01014047022908926,0.008100870996713638,0.9044606685638428,0.8721198439598083,0.7936508059501648,11.343833855233497,0.031183004,78.70227560095879,0.3064516129032258,1.032258,7.268977642059326
10,210,0.00911655556410551,0.007364129181951284,0.8964763283729553,0.8578628897666931,0.9047619104385376,14.697087206950604,0.011915028,253.3275552648561,0.41935483870967744,1.0967742,16.35190200805664
11,231,0.009298398159444332,0.007275644224137068,0.9107370376586914,0.897849440574646,0.8888888955116272,14.110311371687757,0.019917786,167.610537084973,0.3870967741935484,1.0967742,13.333205223083496
12,252,0.009147251024842262,0.007054035551846027,0.9100356698036194,0.8942012190818787,0.9365079402923584,15.348528806253949,0.019821048,170.30398528606912,0.3709677419354839,1.0,21.130815505981445
13,273,0.009071256034076214,0.00689855869859457,0.9088175296783447,0.9090821743011475,0.8888888955116272,13.166458800473425,0.026003718,109.03851499644715,0.3548387096774194,1.0967742,11.5201997756958
14,294,0.00811242125928402,0.006406118161976337,0.9013446569442749,0.895257294178009,0.9047619104385376,15.996381490189144,0.026067436,100.4478948252957,0.43548387096774194,1.1290323,14.84440803527832
15,315,0.007649189326912165,0.006050665397197008,0.8994615077972412,0.9025537371635437,0.9047619104385376,16.227042869207704,0.026385725,92.07460018997965,0.5161290322580645,1.2903225,13.897571563720703
16,336,0.007239392958581448,0.005514496937394142,0.8834210634231567,0.8946332335472107,0.8730158805847168,14.341765661615494,0.00862813,231.38361492787863,0.45161290322580644,1.2903225,12.392511367797852
17,357,0.005992701277136803,0.0044970386661589146,0.8941919207572937,0.9002496004104614,0.8730158805847168,12.762663715905404,0.014019966,114.59166893408612,0.45161290322580644,1.2580645,10.812597274780273
18,378,0.0076453955844044685,0.0064036850817501545,0.8955985307693481,0.8969854116439819,0.7777777910232544,9.852964537543492,0.02083671,60.45638031634924,0.3548387096774194,1.032258,5.082547187805176
19,399,0.0068752821534872055,0.005651305429637432,0.8900346755981445,0.8893529176712036,0.7936508059501648,9.277469231945586,0.019171536,61.74254506132537,0.41935483870967744,1.1290323,4.644190788269043
20,420,0.005178290884941816,0.004296846687793732,0.8506796360015869,0.8444700241088867,0.8253968358039856,12.637186037625215,0.012598574,113.60736008473333,0.5645161290322581,1.2580645,8.391616821289062
21,441,0.006268457509577274,0.00480858888477087,0.8389149308204651,0.8123559951782227,0.8095238208770752,11.480515421432033,0.019171655,70.01021704306274,0.4032258064516129,1.1290323,7.42310905456543
