,rmse,mae,ic,ric,dir_acc,sharpe,max_drawdown,calmar,hit_rate,turnover,profit_factor
mean,0.0061,0.005,0.821,0.7899,0.7684,9.7739,0.02,80.6886,0.5645,1.0777,5.7347
std,0.0012,0.001,0.0532,0.0518,0.0477,2.0869,0.0092,50.2877,0.1018,0.1829,2.3385
