,window_start,rmse,mae,ic,ric,dir_acc,sharpe,max_drawdown,calmar,hit_rate,turnover,profit_factor
0,0,0.005551464390009642,0.004306740593165159,0.8302865028381348,0.8130280375480652,0.761904776096344,7.962684800146007,0.019773364,47.34397410110869,0.46774193548387094,1.0645162,4.073485851287842
1,21,0.005177265964448452,0.0038745002821087837,0.7781689763069153,0.6650345325469971,0.7142857313156128,6.140279845104626,0.020828426,34.091796221057514,0.5645161290322581,1.1935484,2.845621347427368
2,42,0.006788765080273151,0.005663397256284952,0.7940345406532288,0.7409273982048035,0.7301587462425232,7.93175654371606,0.036861956,28.70646083256123,0.3548387096774194,0.87096775,3.5742781162261963
3,63,0.006480951327830553,0.00551435025408864,0.79253751039505,0.7287826538085938,0.7142857313156128,9.164233416843132,0.02393639,51.53223935844377,0.4838709677419355,1.032258,4.209893226623535
4,84,0.006391767878085375,0.00524004315957427,0.8307919502258301,0.797571063041687,0.7777777910232544,12.345303042190746,0.009958208,155.43953581112223,0.6774193548387096,0.9032258,7.098456382751465
5,105,0.007715065032243729,0.006261819042265415,0.8971334099769592,0.8599270582199097,0.7777777910232544,11.494418801980313,0.013911068,138.40996871103607,0.6774193548387096,0.87096775,7.620804309844971
6,126,0.007528224494308233,0.005709253251552582,0.8906611800193787,0.8499904274940491,0.7777777910232544,10.038813203471872,0.029635608,61.146170930183445,0.5967741935483871,1.1612903,5.860332012176514
7,147,0.007426154799759388,0.006052868906408548,0.8882632255554199,0.8539266586303711,0.7936508059501648,10.628110646817007,0.02957201,65.34618607599529,0.5806451612903226,1.1290323,6.5760722160339355
8,168,0.007214144337922335,0.005799746606498957,0.8265150189399719,0.7874904274940491,0.7142857313156128,8.361039266900455,0.029317856,44.99610721895127,0.6451612903225806,1.0,4.045679569244385
9,189,0.006141494493931532,0.005128578282892704,0.8453607559204102,0.7961309552192688,0.8095238208770752,11.49512277061567,0.012542486,126.98854774554717,0.5161290322580645,1.1612903,8.714238166809082
10,210,0.007061011623591185,0.0059056454338133335,0.8476602435112,0.8031874299049377,0.7936508059501648,11.483895227837262,0.01763016,103.03974973375932,0.5483870967741935,1.1290323,7.531764507293701
11,231,0.00731054088100791,0.005888468585908413,0.8623737096786499,0.8357815146446228,0.8253968358039856,13.05763225128597,0.012542605,174.03306533051372,0.5161290322580645,1.1612903,11.809913635253906
12,252,0.008125045336782932,0.0067002009600400925,0.8640646934509277,0.8297811150550842,0.6507936716079712,8.529178958394262,0.035129964,44.06839286805015,0.7258064516129032,0.9032258,4.210583209991455
13,273,0.0064790332689881325,0.005063029006123543,0.8350135087966919,0.8089478015899658,0.8095238208770752,10.26985116786257,0.02979374,48.3202135965158,0.5967741935483871,1.1612903,6.251328468322754
14,294,0.006254579871892929,0.0049019926227629185,0.8033732771873474,0.789602518081665,0.761904776096344,7.929420862833833,0.029919982,32.86817366910437,0.5967741935483871,1.1935484,3.6741793155670166
15,315,0.005986356642097235,0.004807875491678715,0.8208893537521362,0.8407257795333862,0.841269850730896,12.471899122254525,0.011252761,112.95789418798665,0.5483870967741935,1.2903225,7.5630011558532715
16,336,0.004499723669141531,0.003735410515218973,0.8228586316108704,0.7915226817131042,0.8095238208770752,11.591728272902241,0.007166505,145.79630735690404,0.532258064516129,1.4193548,7.544367790222168
17,357,0.00468509690836072,0.0038414483424276114,0.8264343738555908,0.8301651477813721,0.8253968358039856,12.702832059066562,0.0066853166,171.27721283467517,0.532258064516129,1.3225807,8.3049955368042
18,378,0.004324433859437704,0.00343466829508543,0.8022393584251404,0.7517281174659729,0.7936508059501648,8.681237129825552,0.015672147,49.43813644531919,0.5,1.2580645,4.379982948303223
19,399,0.004408036358654499,0.0035777981393039227,0.8127715587615967,0.7731854915618896,0.7301587462425232,8.732014652428212,0.010340154,77.34036324281325,0.6612903225806451,0.7741935,4.161228656768799
20,420,0.004702955950051546,0.0037861536256968975,0.7372677326202393,0.7095814347267151,0.7142857313156128,6.6775119952654896,0.019774318,28.136355274401822,0.3548387096774194,1.0,2.959911346435547
21,441,0.004750503227114677,0.0037863797042518854,0.6539233922958374,0.7206221222877502,0.7777777910232544,7.336130006013537,0.016758382,33.87317285326097,0.7419354838709677,0.7096774,3.1532137393951416
