regime,rolling_std
0,
0,0.001974561038231156
0,0.007892276836118728
0,0.006691923973116588
0,0.011688153347692269
0,0.01045990104382282
0,0.010903358466285273
0,0.010865981247689269
0,0.010577764650735011
0,0.010272268539916356
0,0.009745369814136958
0,0.009704793063476755
0,0.009299581905314769
0,0.009121979268835784
0,0.00879077463094703
0,0.008531575228219136
0,0.008816531501550597
0,0.008653448688851007
0,0.008436336856496475
0,0.00829608379402646
0,0.008146982329570887
0,0.007755836433349996
0,0.007718777623218822
0,0.007709546367340187
0,0.006498278727515108
0,0.0073726161557672075
0,0.006766978380197571
0,0.006617873980167659
0,0.006274139440875813
0,0.006205055168401911
0,0.0062286060705388155
0,0.006025601827449094
0,0.006033704419618871
0,0.005782248285846796
0,0.005836830921677033
0,0.006084538797415035
0,0.00539429506202398
0,0.005248974428535451
0,0.005251454280635369
0,0.0050425885434466754
0,0.005112400600120893
0,0.005211916599484188
0,0.005516041232460274
0,0.0054709721764969604
0,0.005550655509950062
0,0.004684049361504293
0,0.006819001787429392
0,0.0068814327422256245
0,0.008068233448937468
0,0.008300602919493657
0,0.009749283195465941
0,0.009829376873147066
0,0.010477573773011586
0,0.011135468284456992
0,0.011171677247472183
0,0.011209954443006825
0,0.011266288204805871
0,0.011295557143211177
0,0.011305342351792301
0,0.011581215123326423
0,0.011543850707999738
0,0.011728637513717546
0,0.011949613910251384
0,0.012749778645970865
0,0.012854317485983865
0,0.012907872475856019
0,0.011788221052701902
0,0.011786823742324561
0,0.01044324447043884
0,0.009933967926416912
0,0.008997869341205724
0,0.008699132277171
0,0.008264462963743413
0,0.008281918049365594
0,0.008279761939767457
0,0.008072108647418117
0,0.008075868328232368
0,0.008049591664845306
0,0.0079420223765072
0,0.007903162112891451
0,0.007942168398031534
0,0.008385450070260776
0,0.007948612408102271
0,0.007161100665680477
0,0.0077142150225755
0,0.007579154451831956
0,0.007042144378853041
0,0.007080416982655522
0,0.007049663394759259
0,0.008111758168241107
0,0.009074047720861568
0,0.009381739223634195
0,0.009307998539312303
0,0.009341869021623242
0,0.009321242135129562
0,0.009329927754638043
0,0.009539196637549336
0,0.00971248380528485
0,0.010013519073553571
0,0.01022243492065141
0,0.010319724391167207
0,0.010315590512590284
0,0.010181175803965688
0,0.010651856538579915
0,0.010106909469548574
0,0.010386804869526887
0,0.010673190272568517
0,0.010598383109844022
0,0.012202848743451941
0,0.01183672701083689
0,0.011635221908573311
0,0.012295078001144199
0,0.012255746691574651
0,0.012095954439119672
0,0.013247535068447903
0,0.0132176086637536
0,0.014236006127230152
0,0.013767923110105336
0,0.013720092709171352
0,0.013590301965810622
0,0.013971627583545787
0,0.014694355987434392
0,0.015066114753377624
0,0.014699568734920994
0,0.014621758500885505
0,0.014438718010486974
0,0.014366684567437503
0,0.014425330009354281
0,0.013235181846992098
0,0.013099227387011766
0,0.01272315477492736
0,0.012216747291268218
0,0.012714372080333058
0,0.01250550739099795
0,0.01060009067553322
0,0.010922276606602156
0,0.010015812028070802
0,0.009949272919104257
0,0.009449028708705997
0,0.00973463768015171
0,0.009538379484645625
0,0.008339719654289311
0,0.0079401966988534
0,0.007749380999771667
0,0.008209582771212299
0,0.00813910591755709
0,0.008556169494040325
0,0.010161542287785147
0,0.010024334680961566
0,0.010972159237965635
0,0.01041415888265224
0,0.011539798824077074
0,0.012369596073098675
0,0.012157273651312861
0,0.012347831857278566
0,0.013695346151051994
0,0.015010999009192862
0,0.014965574854212054
0,0.016244922076325774
0,0.016223675208253078
0,0.01624264590987576
0,0.015999108630077856
0,0.017099170898319315
0,0.01712091214000697
0,0.017504133061105456
0,0.018470492014654404
0,0.018330390744627816
0,0.017616291364965755
0,0.018190812728567294
0,0.017556769075758913
0,0.017653084118125644
0,0.017535384252839875
0,0.01697290478660573
0,0.01707529084815788
0,0.017089860628048213
0,0.016522177021494826
0,0.015300777413649548
0,0.015243123220847763
0,0.013141186596183461
0,0.013473792125672861
0,0.014514342702718237
0,0.015657993037363135
0,0.017018056162877906
0,0.0170241239914967
0,0.016588430232742386
0,0.016500706258501936
0,0.016491169234711448
0,0.01742044640804721
0,0.016807681448350396
0,0.016872602613653292
0,0.018136014830363964
0,0.017652074996243376
0,0.017076445869941493
0,0.017060369154728475
0,0.017063225192462828
0,0.016759953539059194
0,0.01674486853130786
0,0.016661361110414857
0,0.016864742715937638
0,0.016793502127519417
0,0.016216266240549837
0,0.015478254001166057
0,0.013064095837593005
0,0.01325893593777918
0,0.01382129232852561
0,0.011833691149012308
0,0.012959228221826715
0,0.012065445923708085
0,0.012038908498521688
0,0.012139108387805509
0,0.010468626826925996
0,0.010593321728533892
0,0.010831237601738177
0,0.010953128403197107
0,0.010791362427367349
0,0.010712527005933732
0,0.010641375106801774
0,0.01062961847773203
0,0.010316911724981066
0,0.010272134136398959
0,0.009896114609460552
0,0.009695318203948549
0,0.010173329942617456
0,0.009467149195480532
0,0.009022705461168179
0,0.00892404801369118
0,0.007496304952069939
0,0.00785027695196447
0,0.007820254508844863
0,0.008236945640973947
0,0.009123986410913764
0,0.008910657006797067
0,0.008277079274077361
0,0.00841681375066257
0,0.010311317793378984
0,0.010328529906675044
0,0.01054682889377114
0,0.010526623751575604
0,0.01052276043332848
0,0.010500996052540868
0,0.010466214174152237
0,0.011114651081390287
0,0.010307084943456597
0,0.010955765668051806
0,0.010810650312997879
0,0.013110394441598311
0,0.01306990010149764
0,0.0130886728750161
0,0.013114952574740879
0,0.013206229958257121
0,0.013102481374086223
0,0.013431611901804683
0,0.01336225318488619
0,0.01330513857078452
0,0.012611328597933905
0,0.01262051641336231
0,0.013847206751940906
0,0.014093329998450867
0,0.014143928227999219
0,0.015941557865017095
0,0.017877823484827575
0,0.01750948902708056
0,0.017498322841229822
0,0.017374065418444537
0,0.01700453006945904
0,0.015576997355835209
0,0.015520003263701176
0,0.016841842208197722
0,0.017225330352814337
0,0.018097293230300043
0,0.018170305091960444
0,0.017943004207740445
0,0.017926727476714244
0,0.01784351693585363
0,0.017401815597468003
0,0.01757473935356396
0,0.017069568613137638
0,0.016483547104223287
0,0.01636588356511821
0,0.015466953609836178
0,0.013735208372135566
0,0.014512662214865498
0,0.01421414626645532
0,0.013639622573752801
0,0.013419159988441004
0,0.013202012759410093
0,0.014204356324921086
0,0.016219703002122943
0,0.01511551099276843
0,0.01487391802308886
0,0.014829855619370143
0,0.014708766302466847
0,0.014531541592412111
0,0.013971051556053635
0,0.014029856968840525
0,0.013959612362122389
0,0.013945715816116989
0,0.013944544815736017
0,0.014236899558195978
0,0.014188262967845344
0,0.01488314791690257
0,0.013910273248293222
0,0.013840155065442714
0,0.014406986608228997
0,0.014610934503582636
0,0.014598695704007871
0,0.013689335632031242
0,0.009732839694754997
0,0.009927013832307265
0,0.009793380719601076
0,0.009634302395730623
0,0.01055464508166376
0,0.010807665622993413
0,0.01075155804341784
0,0.010815109187017252
0,0.010906337657682801
0,0.010991839100637446
0,0.011097172309501328
0,0.01062751560106397
